BSM_BUSSTO,BSM_CHINES,geometry
609,川瀨,POINT (121.56755 25.11603)
659,外雙溪(至善),POINT (121.54700580241 25.098239688762)
673,平等里,POINT (121.576488163197 25.1313327340663)
2,十八份福德宮,POINT (121.52224 25.147648)
20424,風架口,POINT (121.537199962897 25.1752898013167)
1001473,彌陀寺(硫磺谷),POINT (121.52138 25.14381)
1000351,北投站,POINT (121.492071 25.144595)
962,礦寮,POINT (121.559176 25.14404)
1001356,吉林國小,POINT (121.530202 25.052832)
1001122,忠泰美術館,POINT (121.537667 25.044874)
4034,葫蘆國小,POINT (121.50817 25.08367)
776,格致國中,POINT (121.546904604978 25.1308945790528)
1001380,龍江路口,POINT (121.540621566703 25.0529059562313)
14603,頂北投,POINT (121.532346049417 25.1512159020343)
1001185,興隆市場後站,POINT (121.546905390793 25.0006192298867)
1892,臺北車站(開封),POINT (121.513879 25.046027)
9447,故宮博物院,POINT (121.549397 25.100152)
5973,建安新村,POINT (121.481049891062 25.1060377809006)
1945,南昌路,POINT (121.517135 25.031262)
1807,安泰公園,POINT (121.618342 25.074097)
2785,胡適國小,POINT (121.61883973876 25.043561162452)
2174,黎順里,POINT (121.55644108994 25.0251447854403)
20296,樂業街,POINT (121.553918110451 25.0193596780938)
143,石壁坑福德宮,POINT (121.584967 25.003605)
20271,大油坑,POINT (121.579656043561 25.1796751982147)
2400,石壁坑,POINT (121.582926684997 25.0024406578922)
571,士林分局,POINT (121.525833 25.09049)
1001472,紅柿下,POINT (121.52679390675 25.151125921329)
14608,陽明山(紗帽),POINT (121.546556861859 25.1512231433495)
2421,指南山莊,POINT (121.578332870006 24.9890815957424)
1001155,大南路口,POINT (121.522285617763 25.0895515092059)
1000726,南深路80號,POINT (121.622188 25.019362)
874,新安路四,POINT (121.556507364402 25.1249396080396)
56097,貓空站(小天空�,POINT (121.59534 24.96784)
1001308,舊莊二站,POINT (121.62451422453 25.037447877397)
600,工業區,POINT (121.495782092069 25.1041415402266)
1001259,麗山橋,POINT (121.59950422454 25.024835198458)
188,行義路四,POINT (121.52774 25.140303)
60146,新安路三,POINT (121.554740999064 25.1247709245723)
1851,三元南海路口,POINT (121.50916427019 25.0291478745915)
726,東方寺,POINT (121.55887 25.12356)
1535,八德中坡路口,POINT (121.580172 25.051204)
